City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lompoc,US,69.8,few clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
1,Busselton,AU,63.0,clear sky,-33.65,115.3333,Observatory Guest House
3,Stornoway,GB,44.6,broken clouds,58.2093,-6.3865,Caladh Inn
5,Port Lincoln,AU,60.78,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
6,Los Llanos de Aridane,ES,68.0,few clouds,28.6585,-17.9182,Valle Aridane
8,Phan Thiet,VN,70.09,overcast clouds,10.9333,108.1,Hotel Saigon-PT
9,Punta Arenas,CL,60.8,overcast clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
13,New Norfolk,AU,48.99,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
14,Bengkulu,ID,77.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
15,Mar del Plata,AR,69.8,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Hilo,US,68.0,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Butaritari,KI,80.65,broken clouds,3.0707,172.7902,Isles Sunset Lodge
18,Port Blair,IN,77.74,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
19,Ushuaia,AR,60.8,scattered clouds,-54.8,-68.3,Albatros Hotel
20,Rocha,UY,83.95,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
23,Rikitea,PF,77.63,light rain,-23.1203,-134.9692,Pension Maro'i
24,Esperance,AU,55.4,clear sky,-33.8667,121.9,Hospitality Esperance
25,Itarema,BR,88.32,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
27,Honiara,SB,77.22,overcast clouds,-9.4333,159.95,Heritage Park Hotel
28,Alice Springs,AU,69.8,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
29,Maturin,VE,85.05,scattered clouds,9.75,-63.1767,Hotel Residencial La Pichincha
31,Mount Gambier,AU,50.0,overcast clouds,-37.8333,140.7667,Commodore on the Park
34,Caniço,PT,64.4,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
35,Portland,US,43.0,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
36,Hirara,JP,64.94,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
37,Faanui,PF,81.23,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Ribeira Grande,PT,62.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
39,Hong Kong,HK,62.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
40,Kahului,US,72.0,few clouds,20.8947,-156.47,Maui Seaside Hotel
41,Arraial do Cabo,BR,87.8,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Sterling,US,42.01,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
44,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
45,Ternate,ID,78.64,light rain,0.8,127.4,Grand Dafam Bela Ternate
46,Kavieng,PG,82.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
